OBJECTID,SHAPELEN,TRAIL_NAME,CORRIDOR_NAME,OWNER,OWNER2,TRAIL_STATUS,TRAIL_CONDITION,TRAIL_SURFACE,TRAIL_CLASS,LENGTH,WIDTH,SLOPE,SUBSEGMENT_NAME,STREET,OPEN_DATE,MAINTAIN_DATE,EMERGENCY,LIGHTING,ACCESSIBILITY_STATUS,PUBLIC_ACCESS,ATV,BIKE,DOG,HIKE,PACK,WCRAFTMTR,WCRAFTNMTR,COMMENTS,SEG_LENGTH
32,30.1384772052927,Honeycutt Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.00570804,6,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,30.13847721
33,248.500842436086,Willow Way,Willow Way,Fuquay-Varina,,EXISTING,,NATIVE MATERIAL,,0.04706455,,,,,,,,,NOT EVALUATED,,,,,,,,,,248.50084244
36,4014.18790803649,Honeycutt Creek Trail,,City of Raleigh,,EXISTING,,,,0.76026286,2,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,4014.18790804
37,1154.89379926115,Park Greenway Trail,Park Greenway Trail,Fuquay-Varina,,EXISTING,,,,0.21872989,6,,,,,,,,NOT EVALUATED,,,,,,,,,,1154.89379926
39,138.016949286209,Crabtree Creek Trail,,City of Raleigh,,EXISTING,,,,0.02613957,11,,,,,,,,ACCESSIBLE,,,,,,,,,,138.01694928
40,1602.71948517353,Gardner Street Trail,,City of Raleigh,,EXISTING,,,,0.30354536,4,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,1602.71948517
1,1826.35060504003,Mine Creek Trail,,City of Raleigh,,EXISTING,,,,0.34589974,2,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,1826.35060502
3,6002.90281327147,Wakefield Trail,,City of Raleigh,,EXISTING,,ASPHALT,,1.13691479,8,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,6002.9100745
4,1689.12776751856,Birch Ridge Connector,,City of Raleigh,,EXISTING,,ASPHALT,,0.31991056,8,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,1689.12776753
6,314.798383019316,Walnut Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.05962091,5,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,314.79838305
7,196.065309941074,House Creek Trail,,City of Raleigh,,EXISTING,,,,0.03714498,11,,,,,,,,ACCESSIBLE,,,,,,,,,,196.12551726
9,912.156388302548,Wakefield Trail,,City of Raleigh,,EXISTING,,IMPORTED LOOSE MATERIAL,,0.17275689,5,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,912.15638831
10,35.3339888759392,Martin St Connector,,City of Raleigh,,EXISTING,,OTHER,,0.00669204,5,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,35.33398889
16,2755.82702575633,Basil Creek Trail,Basil Creek Trail,Fuquay-Varina,,EXISTING,,,,0.52193694,,,,,,,,,NOT EVALUATED,,,,,,,,,,2755.82702575
17,124.099009300634,Honeycutt Creek Trail,,City of Raleigh,,EXISTING,,,,0.0235036,7,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,124.0990093
21,79.0416563785958,Marsh Creek Trail,,City of Raleigh,,EXISTING,,,,0.01497001,8,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,79.04165638
22,601.586055895927,Walnut Creek Trail,,City of Raleigh,,EXISTING,,,,0.11393675,5,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,601.5860559
23,4223.06160701387,Walnut Creek Trail,,City of Raleigh,,EXISTING,,,,0.79982227,8,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,4223.06160704
25,1226.37465311047,Richland Creek Trail,,City of Raleigh,,EXISTING,,,,0.23228138,2,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,1226.44569285
28,205.171162288449,Honeycutt Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.03885904,12,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,205.17570549
70,359.050555209684,Simms Branch Trail,,City of Raleigh,,EXISTING,,CONCRETE,,0.06800572,5,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,359.07019168
71,101.60105018228,Crabtree Creek Trail,,City of Raleigh,,EXISTING,,,,0.01924262,0,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,101.6010502
