OBJECTID,NAME,ACRES,OWNER,JURISDICTION,TYPE,MANAGER,COMMENTS,BLDGCODE,CORRIDOR,OS_NUMBER,SHAPEAREA,SHAPELEN,CREATED_DATE,LAST_EDITED_DATE
560321,Brassfield Elementary,26.78642405,WAKE COUNTY,WAKE COUNTY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,1166816.63148189,5661.72698722512,,
560322,Greenway,5.99605414,TOWN OF WAKE FOREST,WAKE FOREST,OPEN SPACE, , , ,,,261188.118140382,3566.06648129891,,
560323,Main Street Park,35.79114742,TOWN OF ROLESVILLE,ROLESVILLE,PARK, ,, ,,,1559062.38169778,7048.97434669266,,
560324,Furches,0.52865253,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,23028.1041806949,1208.71840974308,,
560325,Strickland Road Park,36.09784546,CITY OF RALEIGH,RALEIGH,PARK, ,, ,,,1572437.09871197,5199.12237540028,,
560326,Baileywick Elementary,15.01135227,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,653898.004208658,3356.5955839281,,
560327, ,20.09617308,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,858024.141224584,6321.5251125854,,
560328,,2.45868313,CITY OF RALEIGH EASEMENT,RALEIGH,GREENWAY,,,,,,107100.23704294,1636.39658118856,,
560329,,6.49570453,CITY OF RALEIGH EASEMENT,RALEIGH,GREENWAY,,,,,,277690.59612049,3798.11751568843,,
560330,OS-023,116.81094179,TOWN OF WAKE FOREST,WAKE FOREST,OPEN SPACE, ,PARTNERSHIP,950,RICHLAND CREEK,OS-023,5088284.62456634,9344.44337998635,,2019-06-27T15:16:29.000Z
560331, ,3.15860589,TOWN OF WAKE FOREST,WAKE FOREST,GREENWAY, , , ,,,137588.872376124,2273.83423846051,,
560332,Taylor Street Park,1.05700944,TOWN OF WAKE FOREST,WAKE FOREST,PARK, , , ,,,46043.3311882694,944.465236306863,,
560333,Wake Forest Reservoir Park,141.72337555,TOWN OF WAKE FOREST,WAKE FOREST,PARK, , , ,,,6223036.70113523,17010.7597802063,,
560334,Ailey Young Park,16.11894586,TOWN OF WAKE FOREST,WAKE FOREST,PARK, , , ,,,702174.069289877,4874.22698438553,,
560335,Tyler Run Park,8.03472528,TOWN OF WAKE FOREST,WAKE FOREST,PARK,,,,,,349992.63326748,3208.68032801324,,
560336,,0.41441797,TOWN OF WAKE FOREST,WAKE FOREST,GREENWAY,,,,,,18052.0469841229,828.327454547775,,
560337,Smith Creek Soccer Center,16.7865701,TOWNOF WAKE FOREST,WAKE FOREST,PARK,,,,SMITH CREEK,,731222.993635286,5185.2567390946,,
560338,Smith Creek Greenway,32.35794695,STATE OF NORTH CAROLINA,WAKE FOREST,GREENWAY,,,,SMITH CREEK,,1409502.83306401,15945.7901552083,,
560339,Wake Forest-Rolesville Middle,20.67181967,WAKE COUNTY BOARD OF EDUCATION,WAKE FOREST,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,134,,,900465.040023799,4118.14631795088,,
560340,,2.61593903,TOWN OF KNIGHTDALE,KNIGHTDALE,OPEN SPACE, , ,,MINGO CREEK,,113950.304034401,2072.85960413821,,
560341,White Deer Park,95.19983031,TOWN OF GARNER,GARNER,PARK,,,,,,4146904.60816671,9529.99813562422,,
560342,Pleasant Union Elementary,24.0460525,WAKE COUNTY BOARD OF EDUCATION,WAKE COUNTY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,773,,,1047446.0471089,4576.23580308388,,
560343,Jones Dairy Elementary,19.94181304,WAKE COUNTY BOARD OF EDUCATION,WAKE COUNTY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,868665.375837321,3708.64854098056,,
560344,Heritage Middle / Elementary School,57.56303737,WAKE COUNTY BOARD OF EDUCATION,WAKE FOREST,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,091,,,2504566.9828196,6598.51874717637,,
560345,Wakefield Schools,109.78788411,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,4782360.23197473,9081.01534983824,,
560346,Smith Creek Greenway,27.12929071,TOWN OF WAKE FOREST,WAKE FOREST,GREENWAY, , , ,SMITH CREEK,,1181751.90324723,12573.2556819033,,
560347,Future Park,130.60892967,CITY OF RALEIGH,RALEIGH,PARK, , , ,NEUSE RIVER,,5689324.97640288,13130.1076119896,,
560348,,0.14597518,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,6358.67887728883,461.846896812256,,
560349,Richland Creek Greenway,27.46593284,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,RICHLAND CREEK,,1195259.7681994,7448.24518272811,,
560350,Durant Road Middle School,34.36721473,WAKE COUNTY,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,1497035.87367013,5725.42540641282,,
560351,Honeycutt Park,29.99250751,CITY OF RALEIGH,WAKE COUNTY,PARK, , , ,,,1306473.6271194,5487.62494182435,,
560352, ,9.68426082,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,422223.713501467,6497.84061487531,,
560353,Durant Road Elementary,18.83352093,WAKE COUNTY,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,820388.17189769,4616.59628007582,,
560354, ,0.83770482,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,36490.4221175395,1257.38619376094,,
560355,Wildwood Forest Elementary,14.32640534,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,084,,,624058.21680837,3767.53082403201,,
