X,Y,OBJECTID,FULLNAME,NAME,ENTRANCENAME,ALIAS1,ALIAS2,JURISDICTION,ADDRESS,Address2,URL,PHONE,ARTSCENTER,BALLFIELDS,BOATRENTAL,CANOE,DISCGOLF,DOGPARK,ENVCTR,FISHING,GREENWAYACCESS,GYM,MULTIPURPOSEFIELD,OUTDOORBASKETBALL,PICNICSHELTER,PLAYGROUND,POOL,COMMUNITYCENTER,NEIGHBORHOODCENTER,TENNISCOURTS,TRACK,WALKINGTRAILS,RESTROOMS,Lat,Lon,Notes,AMUSEMENTTRAIN,CAROUSEL,TENNISCENTER,THEATER,BOCCE,HANDBALL,HORSESHOE,INLINESKATING,SANDVOLLEYBALL,SKATEPARK,ACTIVE_ADULT,BMXTRACK,BOATRIDE,LIBRARY,MUSEUM,TEEN,BIKING,LIVEANIMALS,GARDENS,EQUESTRIAN,VEHICLEENTRANCE,GREENWAYENTRANCE,PEDESTRIANENTRANCE,PARKINGSTREET,PARKINGLOT
2125353.781203880906105,783623.314178720116615,1,Abbotts Creek Park - Abbotts Creek Elementary Driveway Entrance,Abbotts Creek Park,Abbotts Creek Elementary Driveway Entrance,Abbotts Creek Park,Abbotts Creek Park,City of Raleigh,"9950 Durant Road, Raleigh, NC",,http://www.raleighnc.gov/home/content/ParksRec/Articles/Parks/AbbottsCreek.html,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,No,Yes,No,Yes
2124290.116336464881897,783394.810698732733727,2,Abbotts Creek Park - Durrant Rd Entrance,Abbotts Creek Park,Durrant Rd Entrance,Abbotts Creek Park,Abbotts Creek Park,City of Raleigh,"9950 Durant Road, Raleigh, NC",,http://www.raleighnc.gov/home/content/ParksRec/Articles/Parks/AbbottsCreek.html,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,No,Yes,No,Yes
2124634.087761387228966,784440.239054054021835,3,Abbotts Creek Park - Pedestrian Entrance,Abbotts Creek Park,Pedestrian Entrance,Abbotts Creek Park,Abbotts Creek Park,City of Raleigh,"9950 Durant Road, Raleigh, NC",,http://www.raleighnc.gov/home/content/ParksRec/Articles/Parks/AbbottsCreek.html,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No
2059712.752709299325943,670736.714821144938469,4,Action Park - Wake Chapel Rd Entrance,Action Park,Wake Chapel Rd Entrance,,,Town of Fuquay-Varina,"609 Wake Chapel Road, Fuquay-Varina, NC","609 Wake Chapel Road, Fuquay-Varina, NC",http://www.fuquay-varina.org/departments-and-services/parks-recreation-and-cultural-resources/parks/action-park-description.html,919-552-1430,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,35.591424,-78.801715,,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,,,Yes,No,Yes,No,Yes
2148614.750101804733276,812885.625076562166214,5,Ailey Young Park - E Juniper Ave Entrance,Ailey Young Park,E Juniper Ave Entrance,,,Town of Wake Forest,"800 E Juniper Ave, Wake Forest, NC","800 E Juniper Ave, Wake Forest, NC",http://www.wakeforestnc.gov/ailey-young-park.aspx,919-435-9560,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,35.981442,-78.492038,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,No,Yes,No,Yes
2055019.221742048859596,681822.473161399364471,6,Alston Ridge Park - Greenway Entrance,Alston Ridge Park,Greenway Entrance,,,Town of Fuquay-Varina,"6850 Hilltop-Needmore Road, Fuquay-Varina, NC","6850 Hilltop-Needmore Road, Fuquay-Varina, NC",http://www.fuquay-varina.org/departments-and-services/parks-recreation-and-cultural-resources/parks/alston-ridge-park.html,919-552-1430,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,35.627916,-78.779520,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,Yes,Yes,No,No
2055721.209183216094971,681734.577339813113213,7,Alston Ridge Park - Hilltop Needmore Rd Entrance,Alston Ridge Park,Hilltop Needmore Rd Entrance,,,Town of Fuquay-Varina,"6850 Hilltop-Needmore Road, Fuquay-Varina, NC","6850 Hilltop-Needmore Road, Fuquay-Varina, NC",http://www.fuquay-varina.org/departments-and-services/parks-recreation-and-cultural-resources/parks/alston-ridge-park.html,919-552-1430,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,35.627916,-78.779520,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,Yes,Yes,No,Yes
2024255.685172140598297,744057.144295483827591,8,American Tobacco Trail - Copperleaf Pl Greenway Entrance,American Tobacco Trail,Copperleaf Pl Greenway Entrance,,,Wake County,,,http://www.wakegov.com/parks/att/Pages/default.aspx,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No
2022100.627146303653717,727318.996997565031052,9,American Tobacco Trail - Goodwin Rd Greenway Entrance,American Tobacco Trail,Goodwin Rd Greenway Entrance,,,Wake County,,,http://www.wakegov.com/parks/att/Pages/default.aspx,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No
2022583.124540880322456,736519.943818733096123,10,American Tobacco Trail - Green Level West Rd Greenway Entrance,American Tobacco Trail,Green Level West Rd Greenway Entrance,,,Wake County,,,http://www.wakegov.com/parks/att/Pages/default.aspx,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No
