X,Y,OBJECTID,Man_Made_Object,Notes,GlobalID,EditDate
2127149.858648464083672,735306.098805472254753,1,Picnic Table,2 tables,8e3b10b1-86a9-4075-9154-ac7a65cebb1c,2019-04-25T15:34:10.155Z
2127272.139571890234947,735315.022015973925591,2,Grill,,e1bb4bb0-2e86-45a4-bf08-96bf7ac5d1c7,2019-04-25T15:34:10.490Z
2127443.687785223126411,734937.636287808418274,3,Grill,,8e079047-b587-4a15-b150-19183c203b7f,2019-04-25T15:34:10.744Z
2126877.962210640311241,735431.10511714220047,4,Gazebo/Overlook,,8c6b6f28-c47e-4dd1-90f1-93fcfa2ddac4,2019-04-25T15:34:11.004Z
2126965.829160884022713,735513.153509482741356,5,Point of Interest,Restroom,5b1dcf41-042e-40f3-8fe0-040f63711279,2019-04-25T15:34:11.233Z
2126955.684824213385582,735515.030802309513092,6,Water Fountain,,e0968a59-6e07-4cf9-bc90-66b99473d046,2019-04-25T15:34:11.487Z
2126736.896875977516174,735689.611161813139915,7,Water Fountain,,a8fd6117-2630-4aaa-88e0-8b654ab060de,2019-04-25T15:34:11.714Z
2126880.142324388027191,735741.11827664077282,8,Picnic Table,3 tables,e1e79116-df49-4193-8dd8-0502449550c7,2019-04-25T15:34:11.886Z
2127023.849386051297188,735875.676078394055367,9,Picnic Table,1 tables ,3e8519fd-d8e8-43b3-9bb1-18fe92658970,2019-04-25T15:34:12.013Z
2127089.630094394087791,736050.780715063214302,10,Gazebo/Overlook,,bf57b988-de78-4c41-9e4b-c03132bce9b0,2019-04-25T15:34:12.136Z
2127296.464654475450516,735282.202199727296829,11,Brochure Box,,c33939fc-a46c-4fea-ae61-238fae4f0e70,2019-04-25T15:34:12.278Z
2127296.464654475450516,735282.202199727296829,12,Trash Can,,f1b9e06c-65b7-4c9c-9ef5-a7dc2d017e0f,2019-04-25T15:34:12.433Z
2127320.181470558047295,735294.661164313554764,13,Water Fountain,,3671754b-2a39-4e4f-8c6b-14183b9ba575,2019-04-25T15:34:12.590Z
2127300.538465216755867,735391.859788805246353,14,ADA Parking Spot,,08ef65c1-babd-43b9-920c-5734dbfbcffb,2019-04-25T15:34:12.792Z
2126922.935545891523361,735498.399273887276649,15,Trash Can,,a7118fd1-bfe7-4272-94a2-c400039946be,2019-04-25T15:34:12.902Z
2127139.228748470544815,735312.353386148810387,16,Trash Can,,e31208d1-e933-4185-927b-cb653fba3ed8,2019-04-25T15:34:13.027Z
2126821.950183555483818,735503.451429143548012,17,Other,Restroom,9881d53f-5415-4a64-b313-189ca43516eb,2019-04-25T15:34:13.152Z
2127079.193763554096222,735784.823569804430008,18,Point of Interest,Restroom,c645039f-6838-42f0-8486-ae02d8a4062e,2019-04-25T15:34:13.308Z
2127535.147247970104218,734870.742720812559128,19,Kiosk,,c101a234-90ed-4538-8b4e-aaffa2b3d762,2019-04-25T15:34:13.465Z
2126918.680961221456528,735722.595675900578499,20,Kiosk,,27d20f97-050c-4be9-a7bf-331329bdf002,2019-04-25T15:34:13.605Z
2126916.549731880426407,735722.595675900578499,21,Brochure Box,,e8165f3e-fb0d-49e1-9159-6e76a846f8c3,2019-04-25T15:34:13.761Z
2127006.384197890758514,735719.640957400202751,22,ADA Parking Spot,,61921ac9-24c5-423f-a30b-fddc051ca2c3,2019-04-25T15:34:13.871Z
2126914.19343738257885,735780.346216559410095,23,Point of Interest,Restroom,aa32fdcc-aae9-4c2b-962f-3fa4e7d57d4d,2019-04-25T15:34:13.996Z
2127559.480860725045204,734862.49208115041256,24,ADA Parking Spot,,a2851879-257a-4a41-9ba5-494a75cf5b91,2019-04-25T15:34:14.232Z
2127345.676498308777809,735894.498875394463539,25,Gazebo/Overlook,,d779f244-8a0d-4c3d-b7bb-454fbe5b313b,2019-04-25T15:34:14.496Z
2061196.330778881907463,760217.578838065266609,26,Gazebo/Overlook,,b036c9f9-89be-4234-8029-2c93457fde12,2019-04-25T15:34:14.621Z
2061083.332973390817642,760236.581424728035927,27,Fishing Pier/Platform,Fishing platform ,ff4642f8-9064-41ed-b109-47f13e4d5073,2019-04-25T15:34:14.730Z
2061299.542186632752419,760082.354370981454849,28,Fishing Pier/Platform,Fishing pier ,c41f0137-60d4-4f3f-943d-870bf97ff258,2019-04-25T15:34:14.855Z
2062056.018692046403885,760035.960762977600098,29,Fishing Pier/Platform,Boat dock,dff9b726-20a2-4377-9ed5-4fd841ef3fd8,2019-04-25T15:34:14.980Z
2062053.645337224006653,760091.324169307947159,30,Boat Launch,"Trailered boats; concrete ",adaacb55-5256-40b1-b0bc-cd4ea071c952,2019-04-25T15:34:15.089Z
2062315.799340471625328,760346.645837143063545,31,Boat Launch,"Hand launch; sand",ad8e51b1-d83f-447a-837e-01cc30044251,2019-04-25T15:34:15.214Z
2061405.064285308122635,760591.662735566496849,32,Restrooms,,bd68461b-15b7-4762-956f-6142bd118302,2019-04-25T15:34:15.355Z
2060859.035193637013435,760435.293625727295876,33,Restrooms,,ae6afb23-7522-4d09-bd11-e81152fe7acb,2019-04-25T15:34:15.511Z
2061944.638009309768677,760272.841850891709328,34,Restrooms,,9e0c3867-b6b9-434c-a062-9cc52561b547,2019-04-25T15:34:15.667Z
2061099.178414136171341,760910.120760053396225,35,ADA Parking Spot,2 spots,d97c6e32-6786-4899-8d39-5e5088ceaa7f,2019-04-25T15:34:15.809Z
2061058.063010796904564,760910.447531059384346,36,Trash Can,,d152340a-243c-4113-a2ed-830bbe79f434,2019-04-25T15:34:15.933Z
