OBJECTID,Man_Made_Object,Notes,GlobalID,EditDate,Shape__Area,Shape__Length
1,Administrative Building,Park Office,f972a692-c9fc-4ee0-96b2-37ff7e041bc1,2019-04-25T16:07:49.143Z,22702.0515136719,682.401724599744
2,Restroom,Day Use restroom,8c074ea2-50eb-48ac-8b0c-b3d8045ca2ac,2019-04-25T16:07:49.338Z,1238.19958496094,142.557554899799
3,Shelter,Loblolly Shelter,e3bc77ec-3bf9-40a4-b338-113d08fff12f,2019-04-25T16:07:49.541Z,1016.16516113281,130.208684637979
4,Shelter,Cypress Shelter,36dee19c-a6a2-4989-b746-08f5df9e28e5,2019-04-25T16:07:49.786Z,811.7080078125,114.765402549411
5,Field,Playfield,ef46585e-2d8a-4a95-89a0-b9ed98c4740b,2019-04-25T16:07:49.997Z,92500.2288818359,1492.65023535218
6,Cultural Feature,Livestock Barn,07554686-422d-47f2-8441-3105a0417f64,2019-04-25T16:07:50.210Z,4556.02819824219,278.182508057255
7,Cultural Feature,Carriage House,c760ad04-bc4d-481d-b49a-c6431f2f1566,2019-04-25T16:07:50.382Z,1455.78051757813,153.087093782769
8,Cultural Feature,Tenant House,b9731f7e-3a71-4d93-9213-e6b5ed8be477,2019-04-25T16:07:50.540Z,464.140869140625,91.1842369579712
9,Shelter,"Bluebird Shelter, 10 tables",06fe70ea-82eb-4f39-b03f-420e5841d5d7,2019-04-25T16:07:50.663Z,904.8427734375,119.651313428408
10,Shelter,"Carla Shelter, 4 tables",60b77c6f-ddca-433c-9590-ece3815f90a4,2019-04-25T16:07:50.772Z,573.842895507813,106.327056752312
11,Cultural Feature,Farm House,fd8c55ff-12fe-4a64-99e0-d445f09690ca,2019-04-25T16:07:50.882Z,2612.1142578125,226.495171156855
12,Garden/Orchard,Pecan Grove,40c03bb1-2bd1-4560-864b-bb9246cb60d4,2019-04-25T16:07:50.992Z,327589.656494141,2302.68222387111
13,Cultural Feature,Plank Kitchen,315af8ef-a4e0-4aca-9fcf-81ca619660cc,2019-04-25T16:07:51.100Z,387.672729492188,80.4358447732423
14,Garden/Orchard,Herb Garden,969febff-f344-4854-8ea7-7bfc1d05b010,2019-04-25T16:07:51.225Z,3086.17749023438,252.079567359886
15,Cultural Feature,Cotton Gin House,733f41dc-61f4-4991-ae48-3d832eb71e90,2019-04-25T16:07:51.335Z,2850.4267578125,224.593926163941
16,Garden/Orchard,Cotton Field,a6bbc773-8afd-46bc-8e2c-09f16bf49ddc,2019-04-25T16:07:51.522Z,6050.27880859375,332.175758978057
17,Administrative Building,Farm History Center,6c04bf2b-ef27-4163-bc4f-fde65e250b64,2019-04-25T16:07:51.725Z,3260.59326171875,231.747026441665
18,Parking Lot,,96331a36-9f95-43b9-86a6-96fbde116095,2019-04-25T16:07:51.897Z,21950.7711181641,575.611274675011
19,Amphitheater,,4258bbae-2100-4c7a-ab3b-8e467dd10135,2019-04-25T16:07:52.102Z,903.218017578125,120.812531296216
20,Water,,4002463e-6227-44d4-b428-c55f65cbbe9a,2019-04-25T16:07:52.197Z,37523.7733154297,864.60235011768
21,Parking Lot,5 spots,9ca56b41-ec27-4833-8f1d-d77436e7d1ac,2019-04-25T16:07:52.305Z,899.250122070313,135.978693791565
22,Garden/Orchard,,e7312368-8011-4d5b-852d-0d178b2c6b14,2019-04-25T16:07:52.446Z,14753.9644775391,768.242322945121
23,Field,Goat pen,d864b6ea-c091-4fbc-adf6-a3768ccde902,2019-04-25T16:07:52.555Z,17428.7087402344,675.691503189391
24,Water,,7c9c1b1e-5ca9-440f-b76e-75cb3972d24e,2019-04-25T16:07:52.664Z,45603.0018310547,1329.86780627312
25,Cultural Feature,Cemetery ,f00d0a3a-c28b-4892-a2d7-f8bdecb87892,2019-04-25T16:07:52.821Z,924.681762695313,126.248102495764
26,Garden/Orchard,Raised beds,8d37a2ad-4e22-4ad6-991d-bab2d67ca155,2019-04-25T16:07:52.961Z,466.24951171875,88.4129621222073
27,Parking Lot,,7b17d0f7-0051-4432-977c-39db1e7a8b76,2019-04-25T16:07:53.117Z,5958.90441894531,320.885405461658
28,Parking Lot,,c554d9f1-0bd6-40e0-9a36-3f0bc153fab3,2019-04-25T16:07:53.243Z,10668.5847167969,568.398781200081
29,Parking Lot,,6b1d6115-f2d8-41a7-9ad0-8a027ff40e8c,2019-04-25T16:07:53.352Z,1880.18884277344,299.962927839891
30,Parking Lot,,cd007d00-f244-4a2c-83a5-a9c0c0d4cb8b,2019-04-25T16:07:53.555Z,9664.72534179688,478.563559954443
31,Parking Lot,,77b693c0-80c5-422c-88fa-b023656f14c8,2019-04-25T16:07:53.696Z,11184.1004638672,644.306735452269
32,Parking Lot,,66b01754-7985-44bb-9dd0-e6fc82d30616,2019-04-25T16:07:53.821Z,7564.40625,433.609114517609
33,Parking Lot,,003d6610-e7d0-40d7-8956-44b81e2261e7,2019-04-25T16:07:54.008Z,11087.6539306641,508.997376374486
34,Parking Lot,Gravel,e46ac80f-2993-45a5-9ce7-17b10df5917d,2019-04-25T16:07:54.180Z,9318.95861816406,523.988612785069
35,Parking Lot,,c1f6cdae-8f50-46e5-b6b2-650532d64081,2019-04-25T16:07:54.305Z,28629.4169921875,685.413790977143
36,Parking Lot,,8cd20e50-0920-41be-9d90-28e4a52a503b,2019-04-25T16:07:54.414Z,2525.34167480469,207.825402107503
37,Parking Lot,Gravel,bead3bb9-300b-45a9-a4e9-5af46280fcec,2019-04-25T16:07:54.511Z,26055.8833007813,1306.13348442322
38,Field,,15c76da9-37ef-4c60-8151-40d2d067e648,2019-04-25T16:07:54.649Z,223208.875366211,3336.80234332621
39,Garden/Orchard,Master Gardeners: Waterwise Garden,5b4cf3a6-ca8b-4a16-b116-3ede8208ea27,2019-04-25T16:07:54.774Z,5243.50549316406,318.517853544959
40,Administrative Building,Manager’s Office ,27996cc1-b36a-47c3-b71d-39592ce5ebae,2019-04-25T16:07:54.884Z,2056.38818359375,192.769290433398
41,Garden/Orchard,Native garden,cf2e3f40-37e7-4123-8416-44db6e830b67,2019-04-25T16:07:55.008Z,2777.42932128906,214.88328124693
42,Shelter,"White Oak Shelter, 5 tables, 1ADA table",fecf5708-52c3-475d-a8ca-620205267403,2019-04-25T16:07:55.149Z,652.0703125,104.110536693432
43,Shelter,Beech Shelter,5f5c3945-202f-499f-ac91-9eac283d75a9,2019-04-25T16:07:55.289Z,1566.39990234375,161.728440010625
44,Shelter,"Dogwood Shelter, 5 picnic tables, 1 ADA table",8edd025a-aa91-4555-8f0c-aadc06af31b4,2019-04-25T16:07:55.414Z,884.389282226563,121.457922324157
45,Other,Volleyball court,e462259e-d639-4fb9-b3b3-3e619ad19cb2,2019-04-25T16:07:55.555Z,3099.28442382813,233.457795335969
46,Water,Lake Crabtree,dac406a3-2c89-45e1-b14d-c9bb01828fbf,2019-04-25T16:07:55.727Z,19421978.0288086,30429.15655138
47,Administrative Building,,998c8836-522f-4f92-b3bc-0432dc923f5c,2019-04-25T16:07:55.836Z,1316.08862304688,150.673232807998
48,Other,Volleyball court ,5c5411e2-2ffb-47c1-b093-ac9b78262f36,2019-04-25T16:07:56.024Z,2008.43615722656,190.221960304113
49,Other, Volleyball court ,58ea83de-967e-4129-8c2c-6fa8b7f0e6aa,2019-04-25T16:07:56.196Z,2334.93273925781,206.145017217195
50,Cultural Feature,Interpretive homesite ,5c73c4cd-75fa-4437-a1b7-88dd4a519f8f,2019-04-25T16:07:56.352Z,5856.28552246094,317.840746689835
51,Field,Cypress Field,1a4a3ebf-86e3-4db9-8eef-62954bf2945d,2019-04-25T16:07:56.493Z,13874.76171875,571.338823685083
52,Field,Swim Start,4a2dff1a-e118-479d-a227-0d154cd6d35d,2019-04-25T16:07:56.602Z,17817.3669433594,694.812135278745
