X,Y,OBJECTID,NAME,ALIAS1,ALIAS2,JURISDICTION,ADDRESS,Address2,URL,PHONE,ARTSCENTER,BALLFIELDS,BOATRENTAL,CANOE,DISCGOLF,DOGPARK,ENVCTR,FISHING,GREENWAYACCESS,GYM,MULTIPURPOSEFIELD,OUTDOORBASKETBALL,PICNICSHELTER,PLAYGROUND,POOL,COMMUNITYCENTER,NEIGHBORHOODCENTER,TENNISCOURTS,TRACK,WALKINGTRAILS,RESTROOMS,Lat,Lon,Notes,AMUSEMENTTRAIN,CAROUSEL,TENNISCENTER,THEATER,BOCCE,HANDBALL,HORSESHOE,INLINESKATING,SANDVOLLEYBALL,SKATEPARK,ACTIVE_ADULT,BMXTRACK,BOATRIDE,LIBRARY,MUSEUM,TEEN,BIKING,LIVEANIMALS,GARDENS,EQUESTRIAN,FORLOCATOR
2124290.116336464881897,783394.810698732733727,2,Abbotts Creek Park,Abbotts Creek Park,Abbotts Creek Park,City of Raleigh,"9950 Durant Road, Raleigh, NC",,http://www.raleighnc.gov/home/content/ParksRec/Articles/Parks/AbbottsCreek.html,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2059712.752709299325943,670736.714821144938469,4,Action Park,,,Town of Fuquay-Varina,"609 Wake Chapel Road, Fuquay-Varina, NC","609 Wake Chapel Road, Fuquay-Varina, NC",http://www.fuquay-varina.org/departments-and-services/parks-recreation-and-cultural-resources/parks/action-park-description.html,919-552-1430,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,35.591424,-78.801715,,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,,,Yes
2148614.750101804733276,812885.625076562166214,5,Ailey Young Park,,,Town of Wake Forest,"800 E Juniper Ave, Wake Forest, NC","800 E Juniper Ave, Wake Forest, NC",http://www.wakeforestnc.gov/ailey-young-park.aspx,919-435-9560,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,35.981442,-78.492038,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2055721.209183216094971,681734.577339813113213,7,Alston Ridge Park,,,Town of Fuquay-Varina,"6850 Hilltop-Needmore Road, Fuquay-Varina, NC","6850 Hilltop-Needmore Road, Fuquay-Varina, NC",http://www.fuquay-varina.org/departments-and-services/parks-recreation-and-cultural-resources/parks/alston-ridge-park.html,919-552-1430,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,35.627916,-78.779520,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2015764.623414143919945,714932.970260471105576,13,American Tobacco Trail - New Hill Entrance,,,Wake County,"1309 New Hill-Olive Chapel Road, Apex, NC 27502","1309 New Hill-Olive Chapel Road, Apex, NC 27502",http://www.wakegov.com/parks/att/Pages/default.aspx,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,35.714336,-78.946984,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes
2022818.438702806830406,741099.206313729286194,18,American Tobacco Trail - White Oak Entrance,,,Wake County,"1305 White Oak Church Road, Apex, NC 27523",,http://www.wakegov.com/parks/att/Pages/default.aspx,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes
2023461.515500634908676,731845.323902890086174,19,American Tobacco Trail - Wimberly Rd Entrance,,,Wake County,"1017 Wimberly Road, Apex, NC 27502","1017 Wimberly Road, Apex, NC 27502",http://www.wakegov.com/parks/att/Pages/directions.aspx,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,35.760054,-78.920102,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes
2135609.591072797775269,736518.144609734416008,20,Anderson Point Park,,,City of Raleigh,"20 Anderson Point Dr, Raleigh, NC","20 Anderson Point Dr, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/AndersonPointMainPage.html,919-329-5994,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,35.770887,-78.542011,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes
2135484.107727974653244,737270.955111980438232,24,Anderson Point River Access,,,City of Raleigh,"20 Anderson Point Dr, Raleigh, NC",,https://www.raleighnc.gov/parks/content/ParksRec/Articles/Programs/Outdoor/RiverAccess.html,919-996-2144,,,,Yes,,,,,Yes,,,,,,,,,,,Yes,,,,,No,,,,,,,,,,,,,,,,No,,,,Yes
2055351.580329298973083,731748.968124479055405,31,Annie L. Jones Park,,,Town of Cary,"1414 Tarbert Drive, Cary, NC","1414 Tarbert Drive, Cary, NC",http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/annie-jones-park,,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,35.761226,-78.813001,,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,,,Yes
